"","train","test"
"Accuracy","0.967913204062789","0.928"
"Kappa","0.904304408821696","0.768041237113402"
"AccuracyLower","0.963983767842858","0.888594370420985"
"AccuracyUpper","0.971523675567572","0.956772540478312"
"AccuracyNull","0.780124653739612","0.8"
"AccuracyPValue","0","1.49805094950647e-08"
"McnemarPValue","9.528881956426e-13","0.479500122186953"
"Sensitivity","0.895538057742782","0.78"
"Specificity","0.988311880455689","0.965"
"Pos Pred Value","0.955742296918768","0.847826086956522"
"Neg Pred Value","0.971071376653583","0.946078431372549"
"Precision","0.955742296918768","0.847826086956522"
"Recall","0.895538057742782","0.78"
"F1","0.924661246612466","0.8125"
"Prevalence","0.219875346260388","0.2"
"Detection Rate","0.196906740535549","0.156"
"Detection Prevalence","0.206024930747922","0.184"
"Balanced Accuracy","0.941924969099236","0.8725"
"positive","1","1"
"th","0.7172","0.7172"
"RMSE","0.179127875935633","0.268328157299975"
"fbeta","1","1"
"fscore","0.924661246612466","0.8125"
"f050","0.943062465450525","0.833333333333333"
"f075","0.933158297779236","0.822091062394604"
"f100","0.924661246612466","0.8125"
"auc","0.991591885457283","0.9588"
