"","train","test"
"Accuracy","0.971606648199446","0.944"
"Kappa","0.925119438231364","0.82233502538071"
"AccuracyLower","0.967889022588414","0.907825733673323"
"AccuracyUpper","0.975002402206943","0.969049595380838"
"AccuracyNull","0.755309325946445","0.8"
"AccuracyPValue","0","8.46307361879968e-11"
"McnemarPValue","1.01336638488547e-24","0.789268026134281"
"Sensitivity","0.980188679245283","0.84"
"Specificity","0.968826405867971","0.97"
"Pos Pred Value","0.910604732690622","0.875"
"Neg Pred Value","0.99341899091194","0.96039603960396"
"Precision","0.910604732690622","0.875"
"Recall","0.980188679245283","0.84"
"F1","0.944116310767833","0.857142857142857"
"Prevalence","0.244690674053555","0.2"
"Detection Rate","0.239843028624192","0.168"
"Detection Prevalence","0.263388734995383","0.192"
"Balanced Accuracy","0.974507542556627","0.905"
"positive","1","1"
"th","0.5259","0.5259"
"RMSE","0.168503269406128","0.236643191323985"
"fbeta","1.25","1.25"
"fscore","0.951805344534811","0.853320118929633"
"f050","0.923719772403983","0.867768595041323"
"f075","0.934486976543387","0.862068965517242"
"f100","0.944116310767833","0.857142857142857"
"auc","0.996387083660101","0.9388"
