"","train","test"
"Accuracy","0.968374884579871","0.948"
"Kappa","0.932329139869348","0.843373493975903"
"AccuracyLower","0.964471162236359","0.912719815069645"
"AccuracyUpper","0.971959282930357","0.972025107541559"
"AccuracyNull","0.62072945521699","0.8"
"AccuracyPValue","0","1.95577625895675e-11"
"McnemarPValue","4.30187090801031e-14","0.267257493154388"
"Sensitivity","0.939135727328058","0.92"
"Specificity","0.986240238006694","0.955"
"Pos Pred Value","0.976582278481013","0.836363636363636"
"Neg Pred Value","0.963662790697674","0.979487179487179"
"Precision","0.976582278481013","0.836363636363636"
"Recall","0.939135727328058","0.92"
"F1","0.957493018926466","0.876190476190476"
"Prevalence","0.37927054478301","0.2"
"Detection Rate","0.356186518928901","0.184"
"Detection Prevalence","0.364727608494922","0.22"
"Balanced Accuracy","0.962687982667376","0.9375"
"positive","1","1"
"th","0.1742","0.1742"
"RMSE","0.177834516953625","0.228035085019828"
"fbeta","1.25","1.25"
"fscore","0.953402155074975","0.885446009389671"
"f050","0.968855958809494","0.851851851851852"
"f075","0.962762373025183","0.864661654135338"
"f100","0.957493018926466","0.876190476190476"
"auc","0.994878228449034","0.984"
