"","train","test"
"Accuracy","0.960987996306556","0.956"
"Kappa","0.663346613545817","0.865525672371638"
"AccuracyLower","0.956695244412348","0.922637083430443"
"AccuracyUpper","0.964967065002056","0.977833741975307"
"AccuracyNull","0.956140350877193","0.8"
"AccuracyPValue","0.0135976361956295","8.22431397167892e-13"
"McnemarPValue","5.02241560074551e-61","0.546493595406582"
"Sensitivity","0.955263157894737","0.92"
"Specificity","0.961250603573153","0.965"
"Pos Pred Value","0.530701754385965","0.867924528301887"
"Neg Pred Value","0.997869674185464","0.979695431472081"
"Precision","0.530701754385965","0.867924528301887"
"Recall","0.955263157894737","0.92"
"F1","0.682330827067669","0.893203883495146"
"Prevalence","0.043859649122807","0.2"
"Detection Rate","0.0418975069252078","0.184"
"Detection Prevalence","0.0789473684210526","0.212"
"Balanced Accuracy","0.958256880733945","0.9425"
"positive","1","1"
"th","0.0935","0.0935"
"RMSE","0.197514565775398","0.20976176963403"
"fbeta","1.5","1.5"
"fscore","0.766569200779727","0.903323262839879"
"f050","0.582477535301669","0.877862595419847"
"f075","0.631787802840434","0.88597842835131"
"f100","0.682330827067669","0.893203883495146"
"auc","0.99120244478894","0.9802"
