"site","Anthropophony","Biophony","Quiet","Geophony","Interference","RoadDist","YY","DOY","Recorder","n_min","n_mel","LULC"
"s2lam001_180526",278,9283,3714,1019,2025,660.45299070184,18,146,"am",702,21060,"Shrub"
"s2lam001_180604",1396,1129,3991,7054,1253,1412.48404642263,18,155,"am",715,21450,"Riparian/Wetland"
"s2lam001_180707",819,2788,668,595,680,95.349291458648,18,188,"am",362,10860,"Herbaceous"
"s2lam001_190401",7431,2264,44,114,1034,98.2493155337631,19,91,"am",462,13860,"Agriculture/Barren"
"s2lam001_190409",724,5608,8,245,1131,180.001399311402,19,99,"am",308,9240,"Riparian/Wetland"
"s2lam001_190416",3845,3886,591,245,3364,258.488973421387,19,106,"am",596,17880,"Herbaceous"
"s2lam001_190520",256,2789,1438,2515,1035,51.0654021769721,19,140,"am",420,12600,"Conifer Forest"
"s2lam001_200616",175,2057,2679,744,556,183.918000112534,20,168,"am",305,9150,"Oak Forest"
"s2lam001_200702",745,2698,3384,2714,777,178.400189032505,20,184,"am",568,17040,"Oak Forest"
"s2lam002_180707",297,26,4,51,0,117.179017900635,18,188,"am",41,1230,"Conifer Forest"
"s2lam002_190304",601,1169,1057,5153,1401,164.231706577501,19,63,"am",580,17400,"Shrub"
"s2lam002_190329",2353,3339,747,276,46,21.9352974324662,19,88,"am",422,12660,"Urban/Developed"
"s2lam002_190406",1242,4620,2262,589,2392,115.28232114736,19,96,"am",564,16920,"Herbaceous"
"s2lam002_190413",1125,2342,8227,1128,1012,1140.70662088838,19,103,"am",749,22470,"Conifer Forest"
"s2lam002_190524",2834,2161,3130,250,393,54.8529924042755,19,144,"am",434,13020,"Urban/Developed"
"s2lam002_190604",902,4886,2939,205,190,754.466322016831,19,155,"am",435,13050,"Oak Forest"
"s2lam002_190614",549,2953,10730,119,62,143.889422026721,19,165,"am",575,17250,"Conifer Forest"
"s2lam002_190621",214,4084,199,867,49,106.639936787406,19,172,"am",426,12780,"Conifer Forest"
"s2lam002_200522",393,14245,960,289,10915,291.035027266586,20,143,"am",877,26310,"Herbaceous"
"s2lam002_200616",622,3017,7869,813,2594,39.4334953059186,20,168,"am",712,21360,"Herbaceous"
"s2lam002_200630",373,4093,4396,522,971,64.8229590717051,20,182,"am",428,12840,"Herbaceous"
"s2lam003_180604",201,427,16173,304,31,942.205202126895,18,155,"am",713,21390,"Conifer Forest"
"s2lam003_180707",701,1514,1628,7306,36,90.342023701565,18,188,"am",994,29820,"Conifer Forest"
"s2lam003_190304",591,489,4345,3246,1062,240.379790036004,19,63,"am",574,17220,"Shrub"
"s2lam003_190406",683,3379,7255,257,57,201.573067974995,19,96,"am",567,17010,"Oak Forest"
"s2lam003_190413",497,1148,13248,1206,620,703.716203914182,19,103,"am",757,22710,"Conifer Forest"
"s2lam003_190510",666,1909,437,1173,893,488.593244456372,19,130,"am",580,17400,"Riparian/Wetland"
"s2lam003_190523",1521,5318,2600,605,810,33.3508390172916,19,143,"am",661,19830,"Urban/Developed"
"s2lam003_190601",417,2455,4793,2859,3969,123.257130159186,19,152,"am",666,19980,"Conifer Forest"
"s2lam003_190610",271,1058,7482,139,2505,663.071761526842,19,161,"am",424,12720,"Oak Forest"
"s2lam003_190623",75,1702,6486,294,21,381.540045076437,19,174,"am",430,12900,"Conifer Forest"
"s2lam003_200522",579,8441,10654,373,739,543.768007495178,20,143,"am",855,25650,"Conifer Forest"
"s2lam003_200616",313,1769,12461,626,643,132.347105715313,20,168,"am",707,21210,"Oak Forest"
"s2lam003_200702",437,1265,4853,880,5262,514.465112336118,20,184,"am",569,17070,"Oak Forest"
