"site","n_min","Anthropophony","Biophony","Geophony","Interference","Quiet","Unidentified"
"s2lam001_180526",702,0.0205128205128205,0.487393162393162,0.0764957264957265,0.093482905982906,0.0754273504273504,0.283547008547009
"s2lam001_180604",715,0.117025641025641,0.0362051282051282,0.460307692307692,0.0731282051282051,0.0283076923076923,0.334871794871795
"s2lam001_180707",362,0.104659498207885,0.335483870967742,0.0440860215053763,0.121505376344086,0.00985663082437276,0.403405017921147
"s2lam001_190401",462,0.53215859030837,0.158737151248164,0.00572687224669604,0.125403817914831,0,0.205873715124816
"s2lam001_190409",308,0.102252252252252,0.380630630630631,0.0461711711711712,0.241216216216216,0.000225225225225225,0.265315315315315
"s2lam001_190416",596,0.242957746478873,0.172535211267606,0.0107981220657277,0.382511737089202,0.00610328638497653,0.218544600938967
"s2lam001_190520",420,0.0342293906810036,0.215591397849462,0.253225806451613,0.0102150537634409,0.06415770609319,0.424014336917563
"s2lam001_200616",305,0.0364653243847875,0.151454138702461,0.0729306487695749,0.0914988814317673,0.328187919463087,0.339373601789709
"s2lam001_200702",568,0.0861979166666667,0.158333333333333,0.140104166666667,0.0619791666666667,0.139973958333333,0.427604166666667
"s2lam002_180707",41,0.287878787878788,0.0262626262626263,0.0323232323232323,0,0,0.654545454545455
"s2lam002_190304",580,0.0472955974842767,0.0821383647798742,0.287547169811321,0.0611320754716981,0.0742138364779874,0.46
"s2lam002_190329",422,0.230598290598291,0.361367521367521,0.00666666666666667,0.00615384615384615,0.0124786324786325,0.392307692307692
"s2lam002_190406",564,0.111243386243386,0.330687830687831,0.0264550264550265,0.175396825396825,0.0267195767195767,0.355026455026455
"s2lam002_190413",749,0.0636954503249768,0.149396471680594,0.0440111420612813,0.0544103992571959,0.308727948003714,0.391550603528319
"s2lam002_190524",434,0.349333333333333,0.159666666666667,0.0323333333333333,0.0583333333333333,0.0591666666666667,0.361833333333333
"s2lam002_190604",435,0.0933665008291874,0.417412935323383,0.0195688225538972,0.0257048092868988,0.127694859038143,0.323548922056385
"s2lam002_190614",575,0.0571969696969697,0.223611111111111,0.0138888888888889,0.00505050505050505,0.421085858585859,0.281944444444444
"s2lam002_190621",426,0.0237847222222222,0.3421875,0.0196180555555556,0.00729166666666667,0.0277777777777778,0.581770833333333
"s2lam002_200522",877,0.0234848484848485,0.410016835016835,0.0166666666666667,0.521380471380471,0.0346801346801347,0.103282828282828
"s2lam002_200616",712,0.0493788819875776,0.144202898550725,0.030952380952381,0.252691511387164,0.250310559006211,0.297619047619048
"s2lam002_200630",428,0.0446127946127946,0.407912457912458,0.0759259259259259,0.149158249158249,0.085016835016835,0.277104377104377
"s2lam003_180604",713,0.0176470588235294,0.0326109391124871,0.0197110423116615,0.00237358101135191,0.706295149638803,0.223219814241486
"s2lam003_180707",994,0.0319196428571429,0.0622767857142857,0.252008928571429,0.00178571428571429,0.0450892857142857,0.60922619047619
"s2lam003_190304",574,0.0458015267175573,0.033969465648855,0.204071246819338,0.0704834605597964,0.26501272264631,0.394656488549618
"s2lam003_190406",567,0.0722875816993464,0.221437908496732,0.021437908496732,0.0069281045751634,0.247712418300654,0.43437908496732
"s2lam003_190413",757,0.0384196185286104,0.0569482288828338,0.0439600363306085,0.0228882833787466,0.580381471389646,0.263669391462307
"s2lam003_190510",580,0.0437422552664188,0.110285006195787,0.0604708798017348,0.107063197026022,0.0285006195786865,0.661586121437423
"s2lam003_190523",661,0.127552275522755,0.276014760147601,0.0536285362853629,0.0773677736777368,0.0306273062730627,0.449938499384994
"s2lam003_190601",666,0.0128205128205128,0.168065268065268,0.0938228438228438,0.203263403263403,0.206876456876457,0.346503496503496
"s2lam003_190610",424,0.043859649122807,0.0854385964912281,0.0212280701754386,0.355438596491228,0.385263157894737,0.143859649122807
"s2lam003_190623",430,0.00901360544217687,0.178571428571429,0.0244897959183673,0.0032312925170068,0.465646258503401,0.319557823129252
"s2lam003_200522",855,0.0371212121212121,0.448737373737374,0.0152356902356902,0.0335016835016835,0.21473063973064,0.265824915824916
"s2lam003_200616",707,0.0307045215562566,0.0860147213459516,0.0270241850683491,0.0431125131440589,0.572870662460568,0.248685594111462
"s2lam003_200702",569,0.0505836575875486,0.0850843060959793,0.0357976653696498,0.365239948119326,0.226459143968872,0.262516212710765
"s2lam005_180604",715,0.0656410256410256,0.0277948717948718,0.326769230769231,0.250666666666667,0.000307692307692308,0.384205128205128
"s2lam005_180707",989,0.41483918128655,0.0781432748538012,0.101827485380117,0.0211988304093567,0.00175438596491228,0.393786549707602
"s2lam005_190304",578,0.0697994987468672,0.0794486215538847,0.368045112781955,0.0156641604010025,0.00350877192982456,0.470551378446115
"s2lam006_180604",704,0.00870488322717622,0.230785562632696,0.0112526539278132,0.010828025477707,0.339490445859873,0.403290870488323
"s2lam006_180707",1004,0.0151382823871907,0.0192867540029112,0.00196506550218341,0.000727802037845706,0.846069868995633,0.119650655021834
"s2lam006_190311",461,0.193665158371041,0.374660633484163,0.0366515837104072,0.141478129713424,0.0028657616892911,0.281900452488688
"s2lam006_190324",1110,0.0340108401084011,0.0361788617886179,0.357655826558266,0.00853658536585366,0.00013550135501355,0.566056910569106
"s2lam006_190410",974,0.176090342679128,0.253271028037383,0.0239096573208723,0.00903426791277259,0.0274922118380062,0.515576323987539
"s2lam006_190421",520,0.126488095238095,0.12514880952381,0.0760416666666667,0.244196428571429,0.00401785714285714,0.462946428571429
"s2lam006_190602",532,0.00893617021276596,0.169929078014184,0.0680851063829787,0.0194326241134752,0.300141843971631,0.438439716312057
"s2lam006_190610",427,0.0547138047138047,0.0939393939393939,0.0335016835016835,0.433164983164983,0.240572390572391,0.184175084175084
"s2lam006_200522",857,0.0328282828282828,0.268855218855219,0.0966329966329966,0.215993265993266,0.101683501683502,0.322895622895623
"s2lam006_200708",565,0.270619235836627,0.134519104084321,0.00948616600790514,0.0361001317523057,0.118050065876153,0.444532279314888
"s2lam007_180624",874,0.0375205254515599,0.287684729064039,0.0839080459770115,0.0124794745484401,0.214860426929392,0.368555008210181
"s2lam007_180702",569,0.205555555555556,0.222222222222222,0.0270025839793282,0.0516795865633075,0.112790697674419,0.392635658914729
"s2lam007_180707",973,0.320015396458814,0.0958429561200924,0.0460354118552733,0.0292532717474981,0.00307929176289453,0.513010007698229
"s2lam007_190304",578,0.0555137844611529,0.119799498746867,0.351378446115288,0.0784461152882206,0.0104010025062657,0.404135338345865
"s2lam007_190403",576,0.0281565656565657,0.224494949494949,0.0761363636363636,0.116792929292929,0.182954545454545,0.399116161616162
"s2lam007_190419",715,0.0469928644240571,0.24841997961264,0.0613659531090724,0.360652395514781,0.0017329255861366,0.305096839959225
"s2lam007_190510",721,0.26122860020141,0.291440080563948,0.0145015105740181,0.152366565961732,0.0134944612286002,0.319738167170191
"s2lam007_190530",708,0.149583333333333,0.315625,0.00729166666666667,0.0745833333333333,0.184791666666667,0.285520833333333
"s2lam007_190605",598,0.0421911421911422,0.00606060606060606,0.239393939393939,0.497552447552448,0.0034965034965035,0.285897435897436
"s2lam007_190614",568,0.112369791666667,0.310286458333333,0.00143229166666667,0.00625,0.263541666666667,0.313151041666667
"s2lam007_190627",434,0.00683333333333333,0.106666666666667,0.024,0.436833333333333,0.146333333333333,0.304
"s2lam008_180612",1284,0.0276059564719359,0.162199312714777,0.179553264604811,0.244444444444444,0.148224513172967,0.297422680412371
"s2lam008_180707",997,0.111751662971175,0.0673318551367332,0.0823355506282336,0.0853658536585366,0.0791574279379157,0.590465631929047
"s2lam008_190311",459,0.121925925925926,0.149333333333333,0.120888888888889,0.376444444444444,0.0128888888888889,0.277777777777778
"s2lam008_190401",463,0.533185840707965,0.0323008849557522,0.0233038348082596,0.223008849557522,0,0.220501474926254
"s2lam008_190422",459,0.0343703703703704,0.232740740740741,0.101777777777778,0.311407407407407,0.0866666666666667,0.273037037037037
"s2lam008_190528",417,0.029143897996357,0.274681238615665,0.11183970856102,0.467213114754098,0.0058287795992714,0.179417122040073
"s2lam008_190611",688,0.320469798657718,0.217673378076063,0.0239373601789709,0.00805369127516779,0.000782997762863535,0.438143176733781
"s2lam008_200522",857,0.0346186803770351,0.26649528706084,0.1044558697515,0.229391602399314,0.0520994001713796,0.349271636675236
"s2lam008_200616",707,0.0236593059936909,0.36130389064143,0.0719242902208202,0.0562565720294427,0.108727655099895,0.390220820189274
"s2lam008_200702",570,0.0449612403100775,0.115762273901809,0.0554263565891473,0.125452196382429,0.345478036175711,0.33733850129199
"s2lam009_180604",711,0.0218068535825545,0.228660436137072,0.111007268951194,0.00623052959501558,0.167082035306334,0.468847352024922
"s2lam009_180707",1001,0.123516483516484,0.276923076923077,0.0763369963369963,0.0175091575091575,0.00197802197802198,0.513846153846154
"s2lam009_190312",426,0.0614853195164076,0.0518134715025907,0.0711571675302245,0.0138169257340242,0,0.803454231433506
"s2lam009_190403",574,0.0395437262357414,0.219771863117871,0.0673003802281369,0.168187579214195,0.0396704689480355,0.490367553865653
"s2lam010_180604",158,0.0425,0.144583333333333,0.0208333333333333,0.00916666666666667,0.47625,0.31
"s2lam010_180707",1329,0.0866028708133971,0.177565124933546,0.128017012227539,0.0395534290271132,0.0569377990430622,0.522913343965976
"s2lam010_190311",145,0.347761194029851,0.0462686567164179,0.0238805970149254,0.365671641791045,0,0.259701492537313
"s2lam010_190324",879,0.0160583941605839,0.0566098945660989,0.27161394971614,0.0942416869424169,0.0979724249797242,0.482481751824818
"s2lam010_190406",564,0.0287037037037037,0.00714285714285714,0.385185185185185,0.118650793650794,0.159920634920635,0.357936507936508
"s2lam010_190416",600,0.0273148148148148,0.0586805555555556,0.220138888888889,0.136921296296296,0.27349537037037,0.329976851851852
"s2lam010_200710",527,0.0207001522070015,0.0479452054794521,0.0179604261796043,0.00776255707762557,0.659512937595129,0.249771689497717
"s2lam011_180604",698,0.0316017316017316,0.0357142857142857,0.289285714285714,0.409632034632035,0.109632034632035,0.23517316017316
"s2lam011_180707",992,0.0367713004484305,0.339237668161435,0.0229446935724963,0.00597907324364723,0.266143497757848,0.335575485799701
"s2lam011_190311",456,0.195945945945946,0.150600600600601,0.0624624624624625,0.359309309309309,0.0018018018018018,0.277777777777778
"s2lam011_190324",880,0.00970873786407767,0.0629449838187702,0.454288025889968,0.0507281553398058,0.0160194174757282,0.422491909385113
"s2lam011_190407",596,0.140962441314554,0.305516431924883,0.0859154929577465,0.086150234741784,0.0411971830985915,0.358920187793427
"s2lam011_190416",596,0.117730496453901,0.668203309692671,0.00626477541371158,0.025886524822695,0.00153664302600473,0.197990543735225
"s2lam011_190510",577,0.0368553459119497,0.090440251572327,0.0510691823899371,0.0152201257861635,0.430566037735849,0.379496855345912
"s2lam011_190520",425,0.0891797556719023,0.107678883071553,0.13455497382199,0.043979057591623,0.0483420593368237,0.586387434554974
"s2lam011_190529",567,0.107320261437909,0.210326797385621,0.0301960784313725,0.148758169934641,0.15516339869281,0.372418300653595
"s2lam011_190604",446,0.250471698113208,0.237578616352201,0.0393081761006289,0.0213836477987421,0.0312893081761006,0.432075471698113
"s2lam011_200522",854,0.102777777777778,0.309343434343434,0.007996632996633,0.0171717171717172,0.266245791245791,0.304713804713805
"s2lam011_200624",403,0.0700197238658777,0.137080867850099,0.0857988165680473,0.0554240631163708,0.217357001972387,0.447534516765286
"s2lam011_200710",568,0.012890625,0.203385416666667,0.0645833333333333,0.0509114583333333,0.363151041666667,0.320572916666667
"s2lam012_180624",870,0.175124378109453,0.146019900497512,0.0236318407960199,0.0463515754560531,0.0959369817578773,0.521558872305141
"s2lam012_180702",570,0.181794871794872,0.417307692307692,0.00666666666666667,0.0241025641025641,0.157307692307692,0.22474358974359
"s2lam012_180707",992,0.0186846038863976,0.197907324364723,0.509641255605381,0.00269058295964126,0.00665171898355755,0.279745889387145
"s2lam012_190311",458,0.250446428571429,0.0964285714285714,0.0279761904761905,0.451934523809524,0.00193452380952381,0.223065476190476
"s2lam012_190326",572,0.170384615384615,0.116923076923077,0.0669230769230769,0.36474358974359,0.0303846153846154,0.301538461538462
"s2lam012_190402",711,0.0260512820512821,0.160615384615385,0.350564102564103,0.184205128205128,0.0105641025641026,0.296307692307692
"s2lam012_190419",698,0.0747942386831276,0.0058641975308642,0.377777777777778,0.430761316872428,0.000102880658436214,0.170987654320988
"s2lam013_180624",865,0.115952980688497,0.0649874055415617,0.0152812762384551,0.0136020151133501,0.416372795969773,0.379848866498741
"s2lam013_180702",565,0.194270833333333,0.256901041666667,0.00364583333333333,0.00625,0.286458333333333,0.259375
"s2lam013_180707",985,0.191116173120729,0.0486712224753227,0.112072892938497,0.0485952923310554,0.134776006074412,0.482839787395596
"s2lam013_190311",455,0.104977375565611,0.085369532428356,0.0493212669683258,0.670135746606335,0.00165912518853695,0.138310708898944
"s2lam013_190324",881,0.00645682001614205,0.0274414850686037,0.515173527037934,0.00750605326876513,0,0.445359160613398
"s2lam013_190419",702,0.0520376175548589,0.175757575757576,0.0498432601880878,0.0038662486938349,0.108881922675026,0.610658307210031
"s2lam013_200522",856,0.0202749140893471,0.737628865979381,0.0121993127147766,0.0108247422680412,0.0699312714776632,0.157646048109966
"s2lam013_200616",703,0.0287539936102236,0.218743343982961,0.0160809371671991,0.00660276890308839,0.346645367412141,0.387433439829606
"s2lam013_200702",571,0.0335907335907336,0.0422136422136422,0.0261261261261261,0.0132561132561133,0.600772200772201,0.288674388674389
"s2lam014_180604",712,0.0151138716356108,0.344513457556936,0.0871635610766046,0.0197722567287785,0.00714285714285714,0.537577639751553
"s2lam014_180707",1004,0.214992721979622,0.0544395924308588,0.129912663755459,0.00232896652110626,0.000363901018922853,0.60080058224163
"s2lam014_190315",590,0.222541966426859,0.232494004796163,0.0410071942446043,0.0688249400479616,0.0116306954436451,0.441007194244604
"s2lam014_190402",722,0.0256565656565657,0.0525252525252525,0.427171717171717,0.0295959595959596,0.0147474747474747,0.459393939393939
"s2lam014_190414",709,0.0436781609195402,0.482445141065831,0.0724137931034483,0.0894461859979101,0.105015673981191,0.238557993730408
"s2lam014_190428",430,0.118181818181818,0.197138047138047,0.0430976430976431,0.306902356902357,0.0178451178451178,0.35959595959596
