"melspec","Anthropophony","Biophony","Geophony","Interference","Quiet","Anthropophony_bin","Biophony_bin","Geophony_bin","Interference_bin","Quiet_bin","Unidentified","wav"
"0.png",0.142038285732269,0.623785614967346,0.0210491716861725,0.0321805477142334,0.00297114253044128,0,1,0,0,0,0,"s2lam051_190531_2019-06-01_21-30"
"2.png",0.767123341560364,0.108842223882675,0.0534701943397522,0.00810816884040833,0.00815364718437195,1,0,0,0,0,0,"s2lam051_190531_2019-06-01_21-30"
"4.png",0.750692784786224,0.00954654812812805,0.054855614900589,0.00452700257301331,0.0268330574035645,1,0,0,0,0,0,"s2lam051_190531_2019-06-01_21-30"
"6.png",0.614957094192505,0.165236532688141,0.0336481332778931,0.0218499600887299,0.0302359163761139,0,0,0,0,0,1,"s2lam051_190531_2019-06-01_21-30"
"8.png",0.635547876358032,0.0506726503372192,0.0604960918426514,0.00274834036827087,0.0579870939254761,0,0,0,0,0,1,"s2lam051_190531_2019-06-01_21-30"
"10.png",0.542369782924652,0.405093371868134,0.0243401527404785,0.0155132412910461,0.0088036060333252,0,1,0,0,0,0,"s2lam051_190531_2019-06-01_21-30"
"12.png",0.704590857028961,0.0460842847824097,0.0870345234870911,0.00585371255874634,0.0161846876144409,0,0,0,0,0,1,"s2lam051_190531_2019-06-01_21-30"
"14.png",0.798711955547333,0.0372647047042847,0.176136165857315,0.012443870306015,0.00940594077110291,1,0,0,0,0,0,"s2lam051_190531_2019-06-01_21-30"
"16.png",0.304764688014984,0.0496537685394287,0.167618155479431,0.0113129317760468,0.0226801037788391,0,0,0,0,0,1,"s2lam051_190531_2019-06-01_21-30"
"18.png",0.390993595123291,0.0319339036941528,0.0437689423561096,0.0127440989017487,0.021766185760498,0,0,0,0,0,1,"s2lam051_190531_2019-06-01_21-30"
"20.png",0.232066214084625,0.110873997211456,0.222356826066971,0.00947085022926331,0.042231947183609,0,0,0,0,0,1,"s2lam051_190531_2019-06-01_21-30"
"22.png",0.0453871488571167,0.272392988204956,0.15914198756218,0.0103983581066132,0.05697962641716,0,0,0,0,0,1,"s2lam051_190531_2019-06-01_21-30"
"24.png",0.458095848560333,0.0369693040847778,0.00882807374000549,0.00331613421440125,0.0494194328784943,0,0,0,0,0,1,"s2lam051_190531_2019-06-01_21-30"
"26.png",0.678218603134155,0.113778710365295,0.0562409460544586,0.00379258394241333,0.0132297575473785,0,0,0,0,0,1,"s2lam051_190531_2019-06-01_21-30"
"28.png",0.438820451498032,0.0631192624568939,0.0815339088439941,0.0179847776889801,0.098334789276123,0,0,0,0,0,1,"s2lam051_190531_2019-06-01_21-30"
"30.png",0.754187226295471,0.023293137550354,0.0271390378475189,0.00287333130836487,0.0363514721393585,1,0,0,0,0,0,"s2lam051_190531_2019-06-01_21-30"
"32.png",0.902635335922241,0.016082227230072,0.0605347454547882,0.011486679315567,0.00630593299865723,1,0,0,0,0,0,"s2lam051_190531_2019-06-01_21-30"
"34.png",0.244311451911926,0.0247682631015778,0.0945984721183777,0.00402835011482239,0.0698375403881073,0,0,0,0,0,1,"s2lam051_190531_2019-06-01_21-30"
"36.png",0.976482510566711,0.00300449132919312,0.017156183719635,0.00169315934181213,0.00166431069374084,1,0,0,0,0,0,"s2lam051_190531_2019-06-01_21-30"
"38.png",0.665243625640869,0.00568681955337524,0.0750396847724915,0.00989240407943726,0.0667499303817749,0,0,0,0,0,1,"s2lam051_190531_2019-06-01_21-30"
"40.png",0.0249681174755096,0.655625402927399,0.0265326499938965,0.0159779787063599,0.0218603909015656,0,1,0,0,0,0,"s2lam051_190531_2019-06-01_21-30"
"42.png",0.742730021476746,0.0104542672634125,0.0340046286582947,0.00254136323928833,0.0371202826499939,1,0,0,0,0,0,"s2lam051_190531_2019-06-01_21-30"
"44.png",0.880996763706207,0.0292411744594574,0.0165154635906219,0.00579598546028137,0.00507372617721558,1,0,0,0,0,0,"s2lam051_190531_2019-06-01_21-30"
"46.png",0.248996138572693,0.125099539756775,0.0910482108592987,0.0253199338912964,0.110816717147827,0,0,0,0,0,1,"s2lam051_190531_2019-06-01_21-30"
"48.png",0.190783202648163,0.151764690876007,0.0626879632472992,0.00541743636131287,0.034573882818222,0,0,0,0,0,1,"s2lam051_190531_2019-06-01_21-30"
"50.png",0.697787821292877,0.0191783010959625,0.0170147716999054,0.00965806841850281,0.0327839255332947,0,0,0,0,0,1,"s2lam051_190531_2019-06-01_21-30"
"52.png",0.119091510772705,0.248093128204346,0.126001358032227,0.0172748267650604,0.00707954168319702,0,0,0,0,0,1,"s2lam051_190531_2019-06-01_21-30"
"54.png",0.168256849050522,0.172197312116623,0.0816906988620758,0.0192566514015198,0.00706365704536438,0,0,0,0,0,1,"s2lam051_190531_2019-06-01_21-30"
"56.png",0.38434100151062,0.0387495160102844,0.0300642251968384,0.0113038420677185,0.0410553216934204,0,0,0,0,0,1,"s2lam051_190531_2019-06-01_21-30"
"58.png",0.643131613731384,0.211604654788971,0.0967700779438019,0.0130420625209808,0.0399900376796722,0,0,0,0,0,1,"s2lam051_190531_2019-06-01_21-30"
