"melspec","Anthropophony","Biophony","Geophony","Interference","Quiet","Anthropophony_bin","Biophony_bin","Geophony_bin","Interference_bin","Quiet_bin","Unidentified","wav"
"0.png",0.129942506551743,0.214439302682877,0.181034058332443,0.0227020382881165,0.0821729302406311,0,0,0,0,0,1,"s2llg003_190530_2019-05-30_17-10"
"2.png",0.0200335383415222,0.0167421698570251,0.024259626865387,0.00538638234138489,0.983747720718384,0,0,0,0,1,0,"s2llg003_190530_2019-05-30_17-10"
"4.png",0.125333219766617,0.0181165933609009,0.020368367433548,0.00980967283248901,0.90981125831604,0,0,0,0,1,0,"s2llg003_190530_2019-05-30_17-10"
"6.png",0.150004088878632,0.00168636441230774,0.261665523052216,0.00556072592735291,0.880006551742554,0,0,0,0,1,0,"s2llg003_190530_2019-05-30_17-10"
"8.png",0.0160701274871826,0.0107167959213257,0.674104869365692,0.0111522972583771,0.0839810073375702,0,0,0,0,0,1,"s2llg003_190530_2019-05-30_17-10"
"10.png",0.0114836096763611,0.167177855968475,0.372226476669312,0.00670668482780457,0.186675935983658,0,0,0,0,0,1,"s2llg003_190530_2019-05-30_17-10"
"12.png",0.058546781539917,0.000448852777481079,0.294369012117386,0.00421985983848572,0.968895554542542,0,0,0,0,1,0,"s2llg003_190530_2019-05-30_17-10"
"14.png",0.0394397377967834,0.0019533634185791,0.0863463580608368,0.00257080793380737,0.988241851329803,0,0,0,0,1,0,"s2llg003_190530_2019-05-30_17-10"
"16.png",0.0185080170631409,0.00131019949913025,0.240498274564743,0.00509285926818848,0.976913452148438,0,0,0,0,1,0,"s2llg003_190530_2019-05-30_17-10"
"18.png",0.199706256389618,0.00486063957214355,0.216231137514114,0.00422078371047974,0.731814444065094,0,0,0,0,0,1,"s2llg003_190530_2019-05-30_17-10"
"20.png",0.0328671336174011,0.0209982395172119,0.314099669456482,0.00232970714569092,0.801366686820984,0,0,0,0,0,1,"s2llg003_190530_2019-05-30_17-10"
"22.png",0.0735883116722107,0.00111439824104309,0.0702068209648132,0.000826597213745117,0.982008397579193,0,0,0,0,1,0,"s2llg003_190530_2019-05-30_17-10"
"24.png",0.107046991586685,0.204846680164337,0.0263793468475342,0.0025276243686676,0.888985455036163,0,0,0,0,1,0,"s2llg003_190530_2019-05-30_17-10"
"26.png",0.0222051739692688,0.00426551699638367,0.0911755561828613,0.0045221745967865,0.939686298370361,0,0,0,0,1,0,"s2llg003_190530_2019-05-30_17-10"
"28.png",0.0213285982608795,0.00835439562797546,0.0306630432605743,0.00475838780403137,0.985960721969604,0,0,0,0,1,0,"s2llg003_190530_2019-05-30_17-10"
"30.png",0.227047860622406,0.00891298055648804,0.090733677148819,0.0115582048892975,0.887370526790619,0,0,0,0,1,0,"s2llg003_190530_2019-05-30_17-10"
"32.png",0.23118993639946,0.00704514980316162,0.0221996605396271,0.00692901015281677,0.951369881629944,0,0,0,0,1,0,"s2llg003_190530_2019-05-30_17-10"
"34.png",0.0138573348522186,0.007546067237854,0.0678186118602753,0.00402852892875671,0.988528370857239,0,0,0,0,1,0,"s2llg003_190530_2019-05-30_17-10"
"36.png",0.0247686803340912,0.00956079363822937,0.290506422519684,0.0252686440944672,0.97793710231781,0,0,0,0,1,0,"s2llg003_190530_2019-05-30_17-10"
"38.png",0.00503790378570557,0.000437676906585693,0.174899995326996,0.00379964709281921,0.993903636932373,0,0,0,0,1,0,"s2llg003_190530_2019-05-30_17-10"
"40.png",0.119629621505737,0.000972002744674683,0.5661740899086,0.00802269577980042,0.861304402351379,0,0,0,0,1,0,"s2llg003_190530_2019-05-30_17-10"
"42.png",0.0247395634651184,0.000490635633468628,0.56975132226944,0.0122901201248169,0.894783735275269,0,0,0,0,1,0,"s2llg003_190530_2019-05-30_17-10"
"44.png",0.068310022354126,0.000608921051025391,0.519320666790009,0.00956958532333374,0.891265511512756,0,0,0,0,1,0,"s2llg003_190530_2019-05-30_17-10"
"46.png",0.143856108188629,0.00167068839073181,0.580390810966492,0.00396963953971863,0.843371391296387,0,0,0,0,1,0,"s2llg003_190530_2019-05-30_17-10"
"48.png",0.00391694903373718,0.00273680686950684,0.215409785509109,0.000634342432022095,0.992888271808624,0,0,0,0,1,0,"s2llg003_190530_2019-05-30_17-10"
"50.png",0.00972375273704529,0.012944757938385,0.480992823839188,0.0424786806106567,0.786607384681702,0,0,0,0,0,1,"s2llg003_190530_2019-05-30_17-10"
"52.png",0.00592973828315735,0.00103870034217834,0.060306191444397,0.0177331268787384,0.997527897357941,0,0,0,0,1,0,"s2llg003_190530_2019-05-30_17-10"
"54.png",0.00528538227081299,0.0134156942367554,0.17932066321373,0.00196143984794617,0.986054658889771,0,0,0,0,1,0,"s2llg003_190530_2019-05-30_17-10"
"56.png",0.0104726850986481,0.00483518838882446,0.544725298881531,0.0110093355178833,0.901552855968475,0,0,0,0,1,0,"s2llg003_190530_2019-05-30_17-10"
"58.png",0.00708869099617004,0.0130420029163361,0.054099977016449,0.0132883191108704,0.985555171966553,0,0,0,0,1,0,"s2llg003_190530_2019-05-30_17-10"
